INSTNM,OPEID,REGION,SAT_AVG_ALL,PCTPELL,PCTFLOAN,ADM_RATE_ALL,UG,AVGFACSAL,COMPL_RPY_5YR_RT,DEBT_MDN,MEDIAN_HH_INC,ICLEVEL,HIGHDEG,CONTROL,WOMENONLY,MENONLY,LOCALE,Tuition,Degree_Type,Ownership,Regions,Locales,Locale_Short
Alabama A & M University,100200,5,850.0,0.7249,0.8159,0.65384128591317,4380.0,7017.0,0.477631579,14600,49720.22,1,4,1,0.0,0.0,12.0,13435.0,Graduate,Public,South East,City: Midsize,City
University of Alabama at Birmingham,105200,5,1147.0,0.3505,0.5218,0.60427528675703,10331.0,10221.0,0.673230442,14250,55735.22,1,4,1,0.0,0.0,12.0,16023.0,Graduate,Public,South East,City: Midsize,City
Amridge University,2503400,5,,0.7455,0.8781,,98.0,3217.0,0.636363636,11082,53683.7,1,4,2,0.0,0.0,12.0,8862.0,Graduate,Private non-profit,South East,City: Midsize,City
University of Alabama in Huntsville,105500,5,1221.0,0.3179,0.4589,0.8119709794437701,5220.0,9514.0,0.762222222,15000,58688.62,1,4,1,0.0,0.0,12.0,18661.0,Graduate,Public,South East,City: Midsize,City
Alabama State University,100500,5,844.0,0.7567,0.7692,0.4638583054092801,4348.0,7940.0,0.43006993,15274,46065.2,1,4,1,0.0,0.0,12.0,7400.0,Graduate,Public,South East,City: Midsize,City
The University of Alabama,105100,5,1181.0,0.2009,0.4059,0.53586719332651,15318.0,9710.0,0.75203252,17500,57928.41,1,4,1,0.0,0.0,13.0,20575.0,Graduate,Public,South East,City: Small,City
Central Alabama Community College,100700,5,,0.5554,0.3574,,1577.0,5671.0,0.543478261,6500,43985.14,2,2,1,0.0,0.0,32.0,5958.0,Associates,Public,South East,Town: Distant,Town
Athens State University,100800,5,,0.4233,0.6512,,2662.0,7921.0,0.599282297,13250,50752.1,1,3,1,0.0,0.0,31.0,,Bachelors,Public,South East,Town: Fringe,Town
Auburn University at Montgomery,831000,5,990.0,0.4373,0.5584,0.78708901363271,4098.0,7588.0,0.714932127,10250,50723.81,1,4,1,0.0,0.0,12.0,14176.0,Graduate,Public,South East,City: Midsize,City
Auburn University,100900,5,1218.0,0.1631,0.34700000000000003,0.77660451220768,18326.0,9738.0,0.829545455,17500,59005.4,1,4,1,0.0,0.0,13.0,22183.0,Graduate,Public,South East,City: Small,City
Birmingham Southern College,101200,5,1167.0,0.1992,0.4633,0.5305789616743599,1395.0,7078.0,PrivacySuppressed,19500,64789.39,1,3,2,0.0,0.0,12.0,21562.0,Bachelors,Private non-profit,South East,City: Midsize,City
Chattahoochee Valley Community College,1218200,5,,0.605,0.3058,,1748.0,5906.0,0.516129032,5500,46908.55,2,2,1,0.0,0.0,41.0,1403.0,Associates,Public,South East,Rural: Fringe,Rural
Concordia College Alabama,1055400,5,,0.9048,0.9249,0.40339702760084,532.0,5605.0,PrivacySuppressed,8250,38220.7,1,3,2,0.0,0.0,32.0,21838.0,Bachelors,Private non-profit,South East,Town: Distant,Town
South University-Montgomery,1303906,5,,0.6922,0.7304,,207.0,4446.0,0.562656016,9500,55764.27,1,4,3,0.0,0.0,12.0,21275.0,Graduate,Private for-profit,South East,City: Midsize,City
Enterprise State Community College,101500,5,,0.4928,0.2128,,1590.0,6300.0,PrivacySuppressed,5455,44274,2,2,1,0.0,0.0,32.0,4499.0,Associates,Public,South East,Town: Distant,Town
James H Faulkner State Community College,106000,5,,0.4634,0.5107,,2775.0,5988.0,0.595375723,5500,52162.04,2,2,1,0.0,0.0,32.0,6813.0,Associates,Public,South East,Town: Distant,Town
Faulkner University,100300,5,985.0,0.5596,0.7105,0.57301401869158,612.0,5973.0,0.53125,13750,52330.99,1,4,2,0.0,0.0,12.0,23970.0,Graduate,Private non-profit,South East,City: Midsize,City
Gadsden State Community College,101700,5,,0.5604,0.0,,4787.0,6046.0,,PrivacySuppressed,43919.51,2,2,1,0.0,0.0,13.0,3682.0,Associates,Public,South East,City: Small,City
New Beginning College of Cosmetology,4187200,5,,0.6707,0.5749,,,,,5500,,3,1,3,0.0,0.0,32.0,9463.0,Certificate,Private for-profit,South East,Town: Distant,Town
George C Wallace State Community College-Dothan,101800,5,,0.5398,0.0,,3612.0,5665.0,,PrivacySuppressed,43000.16,2,2,1,0.0,0.0,41.0,3067.0,Associates,Public,South East,Rural: Fringe,Rural
George C Wallace State Community College-Hanceville,787100,5,,0.4982,0.3915,,4696.0,5959.0,0.652849741,7813,47769.34,2,2,1,0.0,0.0,32.0,7008.0,Associates,Public,South East,Town: Distant,Town
George C Wallace State Community College-Selma,569900,5,,0.7398,0.0,,1445.0,5232.0,,PrivacySuppressed,35579.05,2,2,1,0.0,0.0,32.0,7688.0,Associates,Public,South East,Town: Distant,Town
Herzing University-Birmingham,962107,5,,0.5927,0.7219,0.92670598146588,534.0,5206.0,0.529329609,10858,46871.43,1,4,3,0.0,0.0,21.0,23186.0,Graduate,Private for-profit,South East,Suburb: Large,Suburb
Huntingdon College,101900,5,992.0,0.4207,0.6862,0.5769439912996099,657.0,5911.0,0.75,16668,54037.99,1,3,2,0.0,0.0,12.0,19685.0,Bachelors,Private non-profit,South East,City: Midsize,City
